Na,Rm,Rm_mean,Rm_sd,ln_Na,ln_Rm,ln_Rm_mean,ln_Rm_SD,grad_Ln_n/r,grad_Ln_n/r_mean,regression
10,3.16228,3.358624667,0.715063518,2.302585093,1.151293286,1.189603047,0.208823581,0,0,0.002774445
100,15.6525,14.16364417,1.702771845,4.605170186,2.750630649,2.64367403,0.117683077,1.587120045,1.605679481,0
200,20.8806,21.37067667,2.50553304,5.298317367,3.038820498,3.055313052,0.115216192,1.766289174,1.712657804,1.683871411
300,29.1548,26.84902917,2.719591381,5.703782475,3.372619565,3.285140344,0.100767824,1.744899159,1.760175164,1.709258342
400,31.0644,31.6187925,3.104016922,5.991464547,3.436062469,3.449107485,0.095573676,1.925363194,1.753343539,1.720761165
500,38.0132,35.89659333,3.323037242,6.214608098,3.637933468,3.576484061,0.090576158,1.295019873,1.713336748,1.727198727
600,42.4853,40.04389833,3.710717574,6.396929655,3.749158134,3.6857598,0.091470288,1.845008784,1.710269847,1.726440417
700,45.618,43.72722333,4.322988308,6.551080335,3.820302375,3.773220405,0.096851682,1.652043541,1.727505876,1.727469198
800,50.5668,47.3317725,4.743752032,6.684611728,3.923295234,3.852290101,0.09834183,1.470490898,1.707768512,1.726898976
900,54.1202,50.64796417,4.90075276,6.802394763,3.991207499,3.920379944,0.094311861,1.798865627,1.750771127,1.726615132
1000,57.2451,53.72489167,4.95171328,6.907755279,4.047342049,3.97974454,0.090369402,2.124598453,1.758963195,1.727238616
1100,59.4811,56.73478583,5.078284227,7.003065459,4.085658615,4.034464591,0.088194287,1.656349397,1.718909217,1.727864253
1200,63.9062,59.72028667,5.308438921,7.090076836,4.157416383,4.085812711,0.087414588,1.787810238,1.739080585,1.727924632
1300,65.307,62.42083667,5.175078704,7.170119543,4.179099228,4.130523444,0.081867911,4.34934047,1.788118478,1.728535739
1400,66.2118,65.06970417,5.452820312,7.244227516,4.192858695,4.172021025,0.082546913,2.748873031,1.751887519,1.729436849
1500,68.7968,67.7424475,5.778710503,7.313220387,4.231157232,4.212207251,0.083041317,1.366834599,1.773568868,1.730046268
1600,73.0068,70.14367167,5.728386899,7.377758908,4.290552587,4.247310682,0.079910862,1.110265718,1.687047064,1.731123466
1700,77.0065,72.93593,5.878605616,7.43838353,4.343889834,4.286397916,0.079466918,1.419685222,1.716380442,1.73095299
1800,79.3221,75.12314417,6.063203721,7.495541944,4.373516778,4.315933601,0.079631622,2.556990486,1.836046177,1.731641628
1900,80.4301,77.48650667,6.175188482,7.549609165,4.387388484,4.346976804,0.078845648,2.554613836,1.663636957,1.732247466
2000,82.662,80.02853917,6.375079677,7.60090246,4.414760004,4.379265036,0.07868997,1.162963863,1.740523959,1.732190264
2100,87.6584,82.07136417,6.53689433,7.649692624,4.473447442,4.404478718,0.078550158,1.340667387,1.833363682,1.732725551
2200,88.7525,84.29348167,6.641495081,7.696212639,4.485851597,4.431251546,0.077873043,4.062059436,1.741282234,1.733193023
2300,89.6437,86.45267333,6.615108655,7.740664402,4.495842924,4.456722849,0.075524491,1.877530871,1.725261245,1.73362341
2400,92.9624,88.63279833,6.704121108,7.783224016,4.53219511,4.481685286,0.074807787,1.312186514,1.737400357,1.733924127
2500,95.5249,90.68776,6.727035487,7.824046011,4.559386946,4.504715017,0.073329725,2.456250006,1.718602316,1.734267077
2600,96.0417,92.84680917,6.862446487,7.863266724,4.564782472,4.528259591,0.073139104,7.099880368,1.736862936,1.734423018
2700,96.566,94.811615,7.22312626,7.901007052,4.570226712,4.549025388,0.07552065,3.360036477,1.766729317,1.73470595
2800,98.1835,96.83037,7.235162676,7.937374696,4.586838177,4.570206012,0.074008735,2.404743739,1.788954137,1.734924774
2900,99.4786,98.65627833,7.261498968,7.972466016,4.599942546,4.588969935,0.072880504,3.085014828,1.850095882,1.735316246
3000,100.404,100.4969817,7.331542983,8.006367568,4.609202047,4.607497523,0.072343573,0,0,1.735795264
