p,df,error,ln_p,ln_df,ln_error,ln_df_max,ln_df_min,graph_m_c
1,1.659619617,0.035599405,1.00E-10,0.50658843,0.010866494,0.517454924,0.495721936,-0.05140069
0.9,1.68505075,0.032893728,-0.105360516,0.521795682,0.010185928,0.53198161,0.511609754,0.504429152
0.8,1.686718941,0.040991018,-0.223143551,0.522785187,0.012704842,0.535490029,0.510080345,0
0.75,1.707184384,0.039036438,-0.287682072,0.534845454,0.012229763,0.547075217,0.522615691,error
0.7,1.67101513,0.036902439,-0.356674944,0.513431304,0.011338537,0.524769841,0.502092767,0.001042127
0.6,1.681499155,0.039910684,-0.510825624,0.51968575,0.012334835,0.532020585,0.507350915,0.011550548
0.5,1.706566197,0.04150926,-0.693147181,0.53448328,0.013000378,0.547483658,0.521482902,0
0.4,1.723792022,0.039596357,-0.916290732,0.544526528,0.012508044,0.557034572,0.532018484,0
0.3,1.734028773,0.042574137,-1.203972804,0.550447472,0.01351467,0.563962142,0.536932802,0
0.25,1.793380198,0.038143871,-1.386294361,0.584102218,0.012423422,0.59652564,0.571678796,0
0.2,1.784759222,0.043894537,-1.609437912,0.579283516,0.014246953,0.593530469,0.565036563,0
0.1,1.871437485,0.042509967,-2.302585093,0.626706844,0.014235734,0.640942578,0.61247111,0
0.05,1.946613034,0.040005607,-2.995732274,0.666090957,0.013689096,0.679780053,0.652401861,0
