Na,Rm_1,Rm_2,Rm_3,Rm_mean,Rm_sd,ln_Na,ln_Rm_1,ln_Rm_2,ln_Rm_3,ln_Rm_mean,ln_Rm_SD,ln_Rm_%_error,regression,reg_sd,m_c_plusminus
100,15.6525,15,15.0333,14.16364417,1.702771845,4.605170186,2.750630649,2.708050201,2.710267741,2.64367403,0.117683077,0.044514973,0.002774445,,na
200,20.8806,22.3607,21.0238,21.37067667,2.50553304,5.298317367,3.038820498,3.107304954,3.045655129,3.055313052,0.115216192,0.03771011,1.683871411,0.063498977,
300,29.1548,28.0179,26.0768,26.84902917,2.719591381,5.703782475,3.372619565,3.332843592,3.26104603,3.285140344,0.100767824,0.030673826,1.709258342,0.052429493,lnnc_lnr
400,31.0644,34.2053,30.0167,31.6187925,3.104016922,5.991464547,3.436062469,3.532380603,3.401753893,3.449107485,0.095573676,0.027709683,1.720761165,0.047681747,df = 1.727238616
500,38.0132,40,34.9285,35.89659333,3.323037242,6.214608098,3.637933468,3.688879454,3.553303115,3.576484061,0.090576158,0.025325475,1.727198727,0.043742128,"""+/- 0039221"""
600,42.4853,44.9444,39.5601,40.04389833,3.710717574,6.396929655,3.749158134,3.80542617,3.677821035,3.6857598,0.091470288,0.024817214,1.726440417,0.04284544,
700,45.618,47.1699,41.7852,43.72722333,4.322988308,6.551080335,3.820302375,3.853755977,3.73254221,3.773220405,0.096851682,0.025668175,1.727469198,0.044340982,df_nc
800,50.5668,49.93,45.2217,47.3317725,4.743752032,6.684611728,3.923295234,3.910622025,3.81157706,3.852290101,0.09834183,0.025528148,1.726898976,0.044084532,0.00000442684NC
900,54.1202,52.3259,52.0384,50.64796417,4.90075276,6.802394763,3.991207499,3.957491468,3.951981908,3.920379944,0.094311861,0.024056817,1.726615132,0.041536863,"""+/- 1.41485967521368E-06"
1000,57.2451,56.9386,56.0803,53.72489167,4.95171328,6.907755279,4.047342049,4.041973494,4.026784592,3.97974454,0.090369402,0.022707337,1.727238616,0.03922099,
1100,59.4811,57.9828,57.3149,56.73478583,5.078284227,7.003065459,4.085658615,4.060146415,4.048560625,4.034464591,0.088194287,0.021860221,1.727864253,0.037771494,"""+ 1.723121936"
1200,63.9062,62.2656,58.2151,59.72028667,5.308438921,7.090076836,4.157416383,4.131409106,4.064144771,4.085812711,0.087414588,0.021394663,1.727924632,0.036968366,"""+/-0.047018575452991"
1300,65.307,64.8845,62.0725,62.42083667,5.175078704,7.170119543,4.179099228,4.172608766,4.128303057,4.130523444,0.081867911,0.019820227,1.728535739,0.03425997,
1400,66.2118,67.2309,62.1289,65.06970417,5.452820312,7.244227516,4.192858695,4.208132963,4.129211259,4.172021025,0.082546913,0.019785833,1.729436849,0.034218349,
1500,68.7968,71.5891,64.195,67.7424475,5.778710503,7.313220387,4.231157232,4.270942828,4.161925326,4.212207251,0.083041317,0.019714442,1.730046268,0.034106897,
1600,73.0068,76.0592,67.1193,70.14367167,5.728386899,7.377758908,4.290552587,4.331511984,4.206471633,4.247310682,0.079910862,0.018814461,1.731123466,0.032570155,
1700,77.0065,79.6492,70.1142,72.93593,5.878605616,7.43838353,4.343889834,4.377631992,4.250125341,4.286397916,0.079466918,0.018539324,1.73095299,0.032090698,
1800,79.3221,82.7647,72.111,75.12314417,6.063203721,7.495541944,4.373516778,4.416001642,4.278206599,4.315933601,0.079631622,0.018450613,1.731641628,0.03194985,
1900,80.4301,85.0882,78.1025,77.48650667,6.175188482,7.549609165,4.387388484,4.443688366,4.358022067,4.346976804,0.078845648,0.018138042,1.732247466,0.031419577,
2000,82.662,90.824,81.1542,80.02853917,6.375079677,7.60090246,4.414760004,4.508923568,4.396351049,4.379265036,0.07868997,0.017968762,1.732190264,0.031125314,
2100,87.6584,94.414,82.0244,82.07136417,6.53689433,7.649692624,4.473447442,4.547689367,4.407016764,4.404478718,0.078550158,0.017834155,1.732725551,0.030901697,
2200,88.7525,95.2943,84.006,84.29348167,6.641495081,7.696212639,4.485851597,4.556969998,4.430888225,4.431251546,0.077873043,0.0175736,1.733193023,0.030458441,
2300,89.6437,96.6023,85.0059,86.45267333,6.615108655,7.740664402,4.495842924,4.57060255,4.442720666,4.456722849,0.075524491,0.016946194,1.73362341,0.029378319,
2400,92.9624,99.7296,86.0058,88.63279833,6.704121108,7.783224016,4.53219511,4.602462524,4.454414736,4.481685286,0.074807787,0.016691888,1.733924127,0.028942467,
2500,95.5249,103.31,87.023,90.68776,6.727035487,7.824046011,4.559386946,4.637734177,4.466172452,4.504715017,0.073329725,0.016278438,1.734267077,0.028231159,
2600,96.0417,105.119,91.0055,92.84680917,6.862446487,7.863266724,4.564782472,4.655093042,4.510919944,4.528259591,0.073139104,0.016151703,1.734423018,0.028013885,
2700,96.566,108.24,92.0054,94.811615,7.22312626,7.901007052,4.570226712,4.684350984,4.521847271,4.549025388,0.07552065,0.016601501,1.73470595,0.028798723,
2800,98.1835,110.463,92.0869,96.83037,7.235162676,7.937374696,4.586838177,4.704680623,4.522732696,4.570206012,0.074008735,0.016193742,1.734924774,0.028094923,
2900,99.4786,114.061,94.0851,98.65627833,7.261498968,7.972466016,4.599942546,4.736733393,4.544199692,4.588969935,0.072880504,0.01588167,1.735316246,0.027559719,
3000,100.404,116.276,96.1301,100.4969817,7.331542983,8.006367568,4.609202047,4.755966675,4.565702482,4.607497523,0.072343573,0.015701272,1.735795264,0.027254194,
