Na,1,Rm_sd,0.9,Rm_sd,0.8,Rm_sd,0.75,Rm_sd,0.7,Rm_sd,0.6,Rm_sd,0.5,Rm_sd,0.4,Rm_sd,0.3,Rm_sd,0.25,Rm_sd,0.2,Rm_sd,0.1,Rm_sd
10,3.4576576,0.862909923,3.414456,0.601250493,3.4605682,0.65151805,3.6462338,0.815468107,3.3216056,0.683338369,3.2631804,0.609642465,3.370446,0.678307844,3.3494554,0.77534392,3.2061894,0.566006249,3.3843936,0.68256244,3.2352608,0.716307727,3.1212908,0.614452246
100,14.150692,1.713990697,14.083044,2.303844362,14.134316,2.11687463,13.262712,1.363936664,13.936662,1.751958104,13.358476,1.664665392,13.590238,1.784756762,12.592214,1.279114898,12.1017362,1.740084647,11.8881458,1.346106081,11.6279098,1.814279949,11.1126792,1.283884138
200,20.904138,2.05836011,21.011376,2.577239799,20.748724,2.2783098,19.543882,1.759834755,20.481688,2.561340678,19.802838,2.654715443,19.926536,2.419338411,18.752636,2.05401017,18.030782,2.100240014,17.560188,2.039597465,17.120186,1.994805483,15.60454,1.630453976
300,27.34034,2.684358853,26.773516,2.618858896,26.326326,3.089438598,25.18272,2.385487252,26.2499,2.922806008,24.717214,3.07556556,25.40387,2.676464375,23.692536,1.950259876,22.854912,2.452127881,22.219754,2.163881704,21.537776,2.182722264,19.209304,2.232245812
400,32.159184,3.011027309,31.487016,3.044272953,30.881278,3.389199255,30.176038,2.699343817,30.786616,3.105528244,29.620846,3.790172522,29.882572,3.312354932,28.1506,2.717202222,26.827064,2.718124307,25.969956,2.358222597,24.790404,2.813479641,22.338116,2.277813698
500,36.760888,3.687430471,35.34855,3.05285286,35.50022,3.632354004,34.544496,3.114145077,34.99909,3.206824823,33.92622,4.041229274,34.008996,3.564791148,32.061092,3.004376044,30.604394,2.961501608,29.247992,2.407274725,28.394978,2.936868495,25.07181,2.530672995
600,40.507234,3.805778164,38.96144,3.153803197,39.231834,4.217003731,38.512634,3.180799713,38.888656,3.727215781,37.580538,4.164554778,37.76921,3.800873857,35.762692,3.545371129,33.996758,3.05938149,32.159838,2.72840994,31.58923,3.38230954,27.570784,2.385708104
700,44.151374,3.854370782,42.889846,3.069486479,43.154948,4.568438326,42.562322,3.305909289,42.695854,4.089515043,40.884934,4.226348306,40.809986,4.290137625,38.5764,3.842013207,36.967898,3.339770233,35.116686,2.915144275,34.581518,3.643962125,29.872476,2.513075041
800,47.837348,3.968384635,46.217874,3.371661826,46.577046,4.73899197,46.021206,3.620753187,45.576914,4.118774411,43.922734,4.640406409,43.821408,4.373082451,41.713892,3.920559746,39.753916,3.609296903,38.143812,3.10315613,37.166362,3.779026024,32.246828,2.709551652
900,51.075466,4.244665841,49.159422,3.751219097,49.868118,4.914292433,49.171706,4.472558408,48.740822,4.286233285,47.329888,4.547610582,46.731888,4.39888441,44.574116,4.181867966,42.380506,4.021534945,40.862236,3.373119751,39.272768,3.948450815,34.76403,2.908974834
1000,54.204472,4.830639094,52.149214,4.079191542,52.873392,5.236826449,51.953556,4.792483247,51.857642,4.656707091,50.27499,4.67820197,49.398808,4.593116861,47.137916,4.275170226,44.791714,4.285121215,43.666434,3.487506645,42.073704,3.906886541,36.757926,3.048724479
